model_id,fold_id,seed,tree_idx,leaf_idx,reason
stage_a_context_model,0,42,0,0,all_negative_path
stage_a_context_model,0,42,0,9,group_violation_location_5
stage_a_context_model,0,42,0,4,group_violation_location_4
stage_a_context_model,0,42,0,8,group_violation_location_3
stage_a_context_model,0,42,1,0,all_negative_path
stage_a_context_model,0,42,1,9,group_violation_location_5
stage_a_context_model,0,42,1,8,group_violation_location_4
stage_a_context_model,0,42,1,3,group_violation_location_4
stage_a_context_model,0,42,1,4,group_violation_location_5
stage_a_context_model,0,42,1,7,group_violation_location_5
stage_a_context_model,0,42,2,0,all_negative_path
stage_a_context_model,0,42,2,4,group_violation_location_4
stage_a_context_model,0,42,2,3,group_violation_location_5
stage_a_context_model,0,42,2,7,group_violation_location_6
stage_a_context_model,0,42,2,8,group_violation_location_6
stage_a_context_model,0,42,2,5,group_violation_location_4
stage_a_context_model,0,42,2,2,group_violation_location_3
stage_a_context_model,0,42,2,6,group_violation_location_3
stage_a_context_model,0,42,3,0,all_negative_path
stage_a_context_model,0,42,3,9,group_violation_location_4
stage_a_context_model,0,42,3,3,group_violation_location_6
stage_a_context_model,0,42,3,7,group_violation_location_6
stage_a_context_model,0,42,3,6,group_violation_location_5
stage_a_context_model,0,42,3,4,group_violation_location_5
stage_a_context_model,0,42,3,8,group_violation_location_5
stage_a_context_model,0,42,3,5,group_violation_location_2
stage_a_context_model,0,42,4,0,all_negative_path
stage_a_context_model,0,42,4,7,group_violation_location_4
stage_a_context_model,0,42,4,8,group_violation_location_3
stage_a_context_model,0,42,4,2,group_violation_location_3
stage_a_context_model,0,42,4,6,group_violation_location_3
stage_a_context_model,0,42,5,0,all_negative_path
stage_a_context_model,0,42,5,3,group_violation_location_5
stage_a_context_model,0,42,5,7,group_violation_location_5
stage_a_context_model,0,42,5,4,group_violation_location_5
stage_a_context_model,0,42,5,5,group_violation_location_6
stage_a_context_model,0,42,5,6,group_violation_location_6
stage_a_context_model,0,42,6,0,all_negative_path
stage_a_context_model,0,42,6,5,group_violation_location_3
stage_a_context_model,0,42,6,2,group_violation_location_4
stage_a_context_model,0,42,6,7,group_violation_location_4
stage_a_context_model,0,42,6,3,group_violation_location_4
stage_a_context_model,0,42,6,6,group_violation_location_4
stage_a_context_model,0,42,7,0,all_negative_path
stage_a_context_model,0,42,7,4,group_violation_location_5
stage_a_context_model,0,42,7,5,group_violation_location_6
stage_a_context_model,0,42,7,7,group_violation_location_6
stage_a_context_model,0,42,7,3,group_violation_location_5
stage_a_context_model,0,42,7,9,group_violation_location_5
stage_a_context_model,0,42,7,8,group_violation_location_4
stage_a_context_model,0,42,7,2,group_violation_location_3
stage_a_context_model,0,42,7,6,group_violation_location_3
stage_a_context_model,0,42,8,0,all_negative_path
stage_a_context_model,0,42,8,5,group_violation_location_5
stage_a_context_model,0,42,8,7,group_violation_location_5
stage_a_context_model,0,42,8,4,group_violation_location_6
stage_a_context_model,0,42,8,9,group_violation_location_6
stage_a_context_model,0,42,8,8,group_violation_location_5
stage_a_context_model,0,42,8,6,group_violation_location_4
stage_a_context_model,0,42,9,0,all_negative_path
