side,source_horizon,cheap_rank,canonical_key
long,0,0.44198443205440546,(*)|(loc_prior_bar_pos_24>-0.0094262166)|(choppiness_index_20<=1.0790406&ob_pressure_mkt_resid<=-2.5008941&symbol_minus_mkt_ret_1h<=0.094186656&symbol_minus_mkt_ret_4h<=0.37114367)
long,0,0.590455614838168,(*)|(*)|(asset_minus_universe_median_ret_24h<=0.062197492&asset_mom_minus_basket_mom_4h<=-0.25855339&mark_perp_dislocation>-0.0095981145&ob_depth_z_10bps<=-0.23574929)
long,0,0.4937956375050219,(*)|(dist_local_swing<=0.0011310009&dist_rolling_7d_high<=0.11638818)|(excess_6h_ts_resid>-0.88047832&mark_vs_perp_bps>-1.2742661&oi_chg_2h<=0.12114758&oi_rank>0.046130955)
long,0,0.5153910007118613,(*)|(dist_local_swing<=0.0049999356&dist_rolling_7d_high<=0.10990277)|(mark_vs_perp_bps>1.4980861&range_per_funding_abs_z_24h<=0.2629844&volume_percentile<=1.329754)
long,0,0.4910891610336594,(*)|(*)|(mark_perp_dislocation>-0.004296869&ob_pressure_mkt_resid<=-0.0021142077&oi_trend_10d_robust_z>-0.0057249288)
long,0,0.6158534835664995,(*)|(*)|(asset_atr_level_pct<=0.23940237&mark_perp_dislocation>-0.0062294384&ob_imbalance_mkt_resid<=-2.5008941)
long,0,0.5351918931100841,(*)|(*)|(mark_vs_perp_bps>1.1906908&ob_imbalance_mkt_resid<=-0.00031842364&oi_1d_chg_z>0.019204872)
long,0,0.5848407459432986,(*)|(loc_prior_bar_pos_48>-0.2916306)|(mark_vs_perp_bps>1.7924738&symbol_minus_mkt_ret_1h<=0.16644439&true_range_percentile<=0.029176008)
long,0,0.970319598339127,(*)|(dist_rolling_7d_high<=0.11300938&loc_prev_week_range_pos_24>0.22854356)|(mark_perp_dislocation>0.0052190302)
long,0,0.6191750763325079,(*)|(loc_prior_bar_pos_48>-0.54917872)|(mark_perp_dislocation>-0.0026713151&ob_imbalance_mkt_resid<=-0.00089406967&symbol_minus_mkt_ret_1h<=0.21981747)
long,0,0.44389838302377926,(*)|(*)|(dist_ema_fast_ts_resid>-0.45600486&mark_perp_dislocation>0.004121989&ob_pressure_mkt_resid<=-0.00000000000000000000000000000000001)
long,0,0.6672043841390476,(*)|(*)|(bollinger_band_width>-0.008467556&mark_vs_perp_bps>0.48875767&ob_imbalance_mkt_resid<=-0.00089406967)
long,0,0.5959937541641624,(*)|(dist_prior_day_low<=0.027172305)|(asset_funding_rate_mean_3d<=-0.000014260234&mark_vs_perp_bps>1.512077)
long,0,0.7257261342078694,(*)|(dist_local_swing<=0.012325019)|(asset_ret_vs_universe_48h<=0.61899936&mark_vs_perp_bps>-1.1468879&volume_trend_48<=-0.045955218)
long,0,0.4634709608500404,(*)|(*)|(mark_perp_dislocation>-0.0047736582&ob_pressure_mkt_resid<=-2.5008941&oi_chg_8h_mkt_resid<=-0.16224852)
long,0,0.6685110247288301,(*)|(*)|(atr_compression_ratio<=-0.34155563&mark_perp_dislocation>-0.0047736582&ob_imbalance_mkt_resid<=-0.0014901161)
long,0,0.5300946818791499,(*)|(*)|(asset_minus_mkt_oi_7d_peer_resid>-0.12825739&mark_perp_dislocation>-0.0029692911&ob_pressure_mkt_resid<=-0.0014901161)
long,0,0.6482672526190055,(*)|(*)|(mark_vs_perp_bps>0.65019464&ob_depth_z_10bps>-0.53154665&ob_imbalance_mkt_resid<=-0.00000000000000000000000000000000001)
long,0,0.6864635482285064,(*)|(dist_rolling_7d_high>0.086816445)|(mark_vs_perp_bps>-1.3352673&ob_pressure_mkt_resid<=-0.00089406967)
long,0,0.6840397625779073,(*)|(dist_local_swing<=0.00050300034)|(asset_minus_universe_median_ret_24h<=-0.021736184&mark_vs_perp_bps>1.5990647)
long,0,0.4291310455509457,(*)|(dist_ma100_atr>-0.0048269429)|(mark_vs_perp_bps>-0.00000000000000000000000000000000001&ob_imbalance_mkt_resid<=-0.0021142077)
long,0,0.6129025280215156,(*)|(loc_pullback_depth_48>0.037593808)|(direction_entropy_20<=0.72116131&mark_vs_perp_bps>0.11868169&ob_imbalance_mkt_resid<=-0.00089406967)
long,0,0.628870074502072,(*)|(*)|(mark_vs_perp_bps>1.3191748&ob_pressure_mkt_resid<=-0.00089406967&trend_acceleration>-0.080259107)
long,0,0.711142132568748,(*)|(*)|(mark_vs_perp_bps>1.9719841&ob_imbalance_mkt_resid<=-2.5008941&oi_value_1d_chg_z_90d<=0.39159489)
long,0,0.6611808077946785,(*)|(*)|(mark_perp_dislocation>0.0049700821&ob_imbalance_mkt_resid<=-0.0014901161)
long,0,0.6765088487690123,(*)|(*)|(funding_per_hour<=-0.000004374644&mark_vs_perp_bps>-0.48037407&ob_imbalance_mkt_resid<=-0.00089406967)
long,0,0.6600264512381482,(*)|(*)|(mark_perp_dislocation>0.00078856089&ob_imbalance_mkt_resid<=-0.00089406967&oi_chg_8h_mkt_resid<=-0.032323483)
long,0,0.605048799672593,(*)|(dist_prior_day_low<=0.034297511)|(dist_ema_fast_mkt_resid>-0.00030230833&mark_perp_dislocation>-0.005552934&ob_pressure_mkt_resid<=-0.00089406967)
long,0,0.6324023509764177,(*)|(dist_local_swing<=0.00034299958)|(mark_perp_dislocation>0.0013327667&ob_depth_z_10bps<=-0.22321357)
