canonical_key,trigger,location,regime,mean_net_ret,directional_mean_ret,std_net_ret,mean_within_fold_std,mean_support_pct,std_support_pct,presence_freq,presence_freq_units,sign_consistency,min_support_actual,mean_uplift,mean_baseline_ret,mean_oos_ic,p25_oos_ic,p50_oos_ic,p75_oos_ic,mean_delta_ic,positive_ic_fraction,mean_ic,ic_tstat,ic_sign_consistency,decile_spread_sharpe,mask_ic_uplift,regression_beta,regression_slope_fit,learnability_step_c_score,trade_path_quality_score,quality_stability_score,path_smoothness_term,path_survivability_term,path_stability_term,path_realized_profit_consistency_term,path_trajectory_smoothness_term,full_quality_score,composite_score,required_hurdle,hurdle_excess,n_folds,discovery_count,n_instances,display_arity,structural_depth,pipeline_stage,parent_context_key,side,rule_type,accepted,rejection_reason,preset,within_mask_ic,delta_within_mask_ic,entropy_reduction,support_objective_score,source_target,source_horizon,composite_score_step1,top10_mean_ret,top10_net_ret,rule_type_class,production_classification,classification_diagnostics,rule_gain_score,rule_split_score,rule_model_importance_score,preset,is_too_narrow,is_too_broad,comp_bonus,pruner_rank_score
(*)|(*)|(ema50_slope>-0.91449344&prior_range>0.17609748&return_autocorr_48>0.15715656),*,*,ema50_slope>-0.91449344&prior_range>0.17609748&return_autocorr_48>0.15715656,-0.000748961721546948,0.000748961721546948,0.002722414727594821,0.032280555367469786,0.10641333333333333,0.029927954973383814,1.0,1.0,0.521608040201005,954,,,-0.021548878946329092,-0.04889407459272668,-0.014778239680465604,-0.0079732263901247,,0.2,-0.09777577877841905,-2.367003750650528,1.0,-0.11608795057982206,-0.10071546789157156,-1.5965576827526093,0.008565447068516282,1.964627137655194e-05,5.7510378560171854e-05,6.590434237496917,0.999329299739067,0.01,0.4603918133907473,0.012443769360097013,0.033491238951683044,0.0005403968695268939,,7.024182492444445e-05,-0.0008192035464713925,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,-0.09777577877841905,-0.10071546789157156,-0.15951948165893554,1.0,primary_target,0,0.0005403968695268939,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.000748961721546948, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 954, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 5.7510378560171854e-05, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.001699059662513,production,False,False,0.3,1.001699059662513
(*)|(bars_in_high_vol_state_log_norm>-0.54938036&loc_prev_week_range_pos_24>0.2867578&loc_pullback_depth_24<=0.28378424)|(mkt_ret_eq_24h>-1.1226006&perp_index_basis>-0.00087315205&prior_range<=0.17609748),*,bars_in_high_vol_state_log_norm>-0.54938036&loc_prev_week_range_pos_24>0.2867578&loc_pullback_depth_24<=0.28378424,mkt_ret_eq_24h>-1.1226006&perp_index_basis>-0.00087315205&prior_range<=0.17609748,0.00042640670408218285,0.00042640670408218285,0.0015457840832333353,0.020804382488131525,0.1460533333333333,0.02542605487814943,1.0,1.0,0.514,1760,,,-0.0031104513705648732,-0.0077449184860473785,-0.005045203139450015,0.014691764472623202,,0.4,0.020823566502672648,0.49207517576533893,0.6,0.028871746361255647,0.017883877389520145,0.3486910879611969,0.22352498456494047,0.21728114203270774,0.00012242835033513777,6.899067736514391,0.999329299739067,0.01,0.9800841453731398,0.04641213296644584,0.024418597109615803,0.016086792469565684,,9.019945928e-05,0.00033620724480218285,5,1,1,6,6,stage_a_context,,long,6-way,True,,production,0.020823566502672648,0.017883877389520145,0.16626596450805664,1.0,primary_target,0,0.016086792469565684,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00042640670408218285, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1760, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.00012242835033513777, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016897954890445,production,False,False,0.1,1.0016897954890445
(*)|(loc_pullback_depth_48>0.27731106)|(mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135&volume_zscore_48h<=-0.39739668),*,loc_pullback_depth_48>0.27731106,mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135&volume_zscore_48h<=-0.39739668,-0.000135648218474671,0.000135648218474671,0.002540157692274149,0.022859273105859758,0.09638666666666666,0.01834656007720975,1.0,1.0,0.5486459378134403,1029,,,-0.01629925859312263,-0.039175391057941475,-0.033315233073281963,0.005563552028780941,,0.4,0.014508341405032538,0.28418749408094524,0.6,0.028224998712539674,0.011568652291880033,0.5938876986503601,0.08343124907950054,0.1659488742023356,0.0006286296992371095,7.720320967874757,0.999329299739067,0.01,0.9884322489181327,0.2545653907997344,0.024918576702475548,0.02079072745995891,,9.073685056e-05,-0.000226385069034671,5,1,1,4,4,stage_a_context,,long,4-way,True,,production,0.014508341405032538,0.011568652291880033,0.10892610549926758,0.9421866666666665,primary_target,0,0.02079072745995891,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.000135648218474671, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1029, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0006286296992371095, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.001650063627423,production,False,False,0.1,1.001650063627423
(*)|(*)|(ema20_slope_5h<=0.034722712&mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135&volume_zscore_48h>-0.39739668),*,*,ema20_slope_5h<=0.034722712&mkt_ret_eq_24h>-0.55900121&prior_volatility<=0.11876135&volume_zscore_48h>-0.39739668,-0.0011341051547788083,0.0011341051547788083,0.0005010304441599197,0.021409714221954347,0.12689333333333333,0.01838161400240287,1.0,1.0,0.5260521042084169,1360,,,-0.021862617932783126,-0.04140021113065225,-0.009155770694295635,-0.0060514573376445665,,0.0,-0.04450108201460862,-1.2423782501167808,0.6,-0.08157686172053218,-0.04744077112776112,-0.7904946476221084,0.02398551834678958,2.0170632536239436e-05,0.0001443159873928738,7.376592446365516,0.999329299739067,0.01,0.985474800160199,0.05861655522893368,0.026258228346705437,0.0008073001123483636,,9.000161312000001e-05,-0.0012241067678988083,5,1,1,4,4,stage_a_context,,long,4-way,True,,production,-0.04450108201460862,-0.04744077112776112,0.10823755264282227,1.0,primary_target,0,0.0008073001123483636,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0011341051547788083, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1360, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0001443159873928738, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016470472051657,production,False,False,0.1,1.0016470472051657
(*)|(dist_prior_day_low>0.02033693)|(rolling_range_20<=-0.40672407&volume_zscore_48h>-0.19588928),*,dist_prior_day_low>0.02033693,rolling_range_20<=-0.40672407&volume_zscore_48h>-0.19588928,0.0016387654235586525,0.0016387654235586525,0.0020056587901477758,0.025821008905768394,0.11770666666666667,0.030502971804217516,1.0,1.0,0.530060120240481,1255,,,0.022675822914353317,0.00040115430369101583,0.0385166300303564,0.04351944375726434,,0.8,0.040368998675744144,1.899038281574092,0.8,0.05958055537194014,0.03742930956259164,0.4458055555820465,0.2722513827866885,0.3742302725775337,0.0004842308980459077,7.201493488599487,0.999329299739067,0.01,0.9836909714006905,0.1970358187257418,0.02685086987912655,0.0399207552673682,,7.003723489777776e-05,0.0015687281886608748,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.040368998675744144,0.03742930956259164,-0.002734470367431641,1.0,primary_target,0,0.0399207552673682,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0016387654235586525, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1255, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0004842308980459077, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016275410689657,production,False,False,0.3,1.0016275410689657
(*)|(*)|(mkt_ret_eq_24h<=-0.47544563&range_24h_pct<=0.10307747&range_24h_pct>0.063147306),*,*,mkt_ret_eq_24h<=-0.47544563&range_24h_pct<=0.10307747&range_24h_pct>0.063147306,0.002324703929480165,0.002324703929480165,0.001859536206906634,0.025244231894612314,0.08098666666666667,0.038270299479129015,1.0,1.0,0.5456369107321966,227,,,0.025484289846790277,0.007443985124276376,0.014210476860910929,0.043689997901806894,,1.0,0.014651413223624326,0.18517815264338622,0.6,-0.024119827151298522,0.01171172411047183,0.2149114727973938,0.1760350360881348,0.024867000596172566,0.0007058705335872786,6.8288881204913405,0.999329299739067,0.01,0.7902291218287454,0.3575389766678363,0.039479903876781464,0.0177895209715722,,7.135602145777777e-05,0.0022533479080223875,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.014651413223624326,0.01171172411047183,-0.042455196380615234,0.6957866666666666,primary_target,0,0.0177895209715722,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.002324703929480165, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 227, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0007058705335872786, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016251224757566,production,False,False,0.3,1.0016251224757566
(*)|(dist_rolling_7d_high>0.13977644)|(mkt_ret_eq_24h>-0.56630391&rolling_range_20>-0.40672407),*,dist_rolling_7d_high>0.13977644,mkt_ret_eq_24h>-0.56630391&rolling_range_20>-0.40672407,-0.0011104562843684107,0.0011104562843684107,0.0014524111075290744,0.03290804363787174,0.10640000000000001,0.04704173088274329,1.0,1.0,0.5694164989939637,780,,,-0.015220774521969484,-0.030357144024944584,-0.023154496520073484,0.008224185825910018,,0.4,0.02317149377218695,1.7707151914737511,0.8,0.06379987765103579,0.020231804659034448,0.3344301670789719,0.1901148778818008,0.32095731562914676,0.0005801326440622314,7.6278989246332385,0.999329299739067,0.06776288842558174,0.9877016103529923,0.17347264770063422,0.031922170892357826,0.03857212392658005,,7.0242172e-05,-0.0011806984563684107,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,0.02317149377218695,0.020231804659034448,-0.21332082748413086,1.0,primary_target,0,0.03857212392658005,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0011104562843684107, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 780, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.0005801326440622314, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016187075774632,production,False,False,0.3,1.0016187075774632
(*)|(distance_to_ema>-0.10461644)|(range_24h_pct<=0.063147306&true_range_percentile>-0.057046685),*,distance_to_ema>-0.10461644,range_24h_pct<=0.063147306&true_range_percentile>-0.057046685,0.000692822685232386,0.000692822685232386,0.0013802591599661451,0.02217666693031788,0.12974666666666665,0.03998213823418875,1.0,1.0,0.5220440881763527,1354,,,0.009706482717901217,-0.006581159511712904,0.016317743932300115,0.02783735582323591,,0.6,-0.034228577640254346,-1.6693248107671688,0.6,-0.05232573980465531,-0.03716826675340685,-1.0527088165283203,0.038721314177269886,2.116015899254995e-05,0.00012199708313103818,6.656653157616805,0.999329299739067,0.01,0.9766316921790852,0.01,0.024213043972849846,0.0007085557434971541,,7.000788579555555e-05,0.0006228147994368304,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,-0.034228577640254346,-0.03716826675340685,0.10212440490722656,1.0,primary_target,0,0.0007085557434971541,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.000692822685232386, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1354, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.00012199708313103818, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016143771511004,production,False,False,0.3,1.0016143771511004
(*)|(*)|(prior_range<=0.84333628&range_24h_pct>0.10307747),*,*,prior_range<=0.84333628&range_24h_pct>0.10307747,0.00036673524882644413,0.00036673524882644413,0.0015810225100374598,0.03674259521067143,0.08810666666666665,0.03529755673005018,1.0,1.0,0.5362903225806451,659,,,-0.010082838629026715,-0.01584352771651054,-0.013314004918488753,0.0009505389711762382,,0.4,0.053850824515065863,1.9333571699417345,0.8,0.11150092631578445,0.05091113540191335,0.3768171608448029,0.15838476777088872,0.4147059742367494,0.001837692260317742,7.28545491177538,0.999329299739067,0.7470965085021729,0.9845719300191721,0.04608482275020107,0.02476336620748043,0.04978089750235978,,8.61569503377778e-05,0.0002805782984886663,5,1,1,2,2,stage_a_context,,long,2-way,True,,production,0.053850824515065863,0.05091113540191335,-0.29703569412231445,0.8097066666666664,primary_target,0,0.04978089750235978,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.00036673524882644413, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 659, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.001837692260317742, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.001613986599645,production,False,False,0.15,1.001613986599645
(*)|(dist_rolling_7d_high<=0.13977644&loc_vwap_dev_z_24<=0.032604098)|(rolling_range_20>-0.40672407),*,dist_rolling_7d_high<=0.13977644&loc_vwap_dev_z_24<=0.032604098,rolling_range_20>-0.40672407,-0.0010965215624310076,0.0010965215624310076,0.0019716190395996634,0.023888253420591355,0.17274666666666666,0.050946828927596444,1.0,1.0,0.51,1725,,,-0.02475764939458666,-0.04626625848968525,-0.006578485315414559,-0.006353972447194052,,0.0,-0.03843388691826449,-1.534795642206054,0.8,-0.09611903284676374,-0.041373576031416996,-0.6610871642827988,0.05170815810790349,2.2741563851683183e-05,0.00012198445154802299,6.650099548676382,0.999329299739067,0.01,0.9765305716934275,0.01,0.026505405083298683,0.000748559238273855,,7.079791046222221e-05,-0.0011673194728932298,5,1,1,3,3,stage_a_context,,long,3-way,True,,production,-0.03843388691826449,-0.041373576031416996,0.052733325958251955,0.6360533333333335,primary_target,0,0.000748559238273855,,,ranking,research,"{""checks"": {""n_folds"": {""value"": 5, ""threshold"": 3, ""passed"": true}, ""healthy_fold_count"": {""value"": 5, ""threshold"": 2, ""passed"": true}, ""healthy_fold_ratio"": {""value"": 1.0, ""threshold"": 0.6666666666666666, ""passed"": true}, ""presence_freq"": {""value"": 1.0, ""threshold"": 0.75, ""passed"": true}, ""directional_mean_ret"": {""value"": 0.0010965215624310076, ""threshold"": 0.0, ""passed"": true}, ""min_support_actual"": {""value"": 1725, ""threshold"": 50, ""passed"": true}, ""is_structurally_sound"": {""value"": false, ""passed"": false}, ""trade_path_quality_score"": {""value"": 0.00012198445154802299, ""threshold"": 0.0, ""passed"": true}}, ""failures"": [""rule_rejected: ""], ""warnings"": [], ""classification"": ""research""}",0.0,0.0,1.0016060917565293,production,False,False,0.3,1.0016060917565293
